"","workerid","target1","target2","competitor1","competitor2","target_location","competitor_location","look","target_look","competitor_look"
"434",2199,1,7,2,8,"topleft","bottomleft","topleft",1,0
"435",2199,1,7,2,8,"topleft","bottomleft","center",0,0
"436",2199,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"437",2199,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"438",2199,4,10,3,9,"bottomright","topright","center",0,0
"439",2199,4,10,3,9,"bottomright","topright","topright",0,1
"440",2199,2,8,1,7,"bottomleft","topleft","topright",0,0
"441",2199,3,9,4,10,"topright","bottomright","topright",1,0
"442",2199,3,9,4,10,"topright","bottomright","bottomright",0,1
"443",2199,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"444",2199,3,9,4,10,"topright","bottomright","topleft",0,0
"445",2199,3,9,4,10,"topright","bottomright","center",0,0
"446",2199,4,10,3,9,"bottomright","topright","bottomright",1,0
"447",2199,1,7,2,8,"topleft","bottomleft","topright",0,0
"448",2199,4,10,3,9,"bottomright","topright","bottomleft",0,0
