"","workerid","target1","target2","competitor1","competitor2","target_location","competitor_location","look","target_look","competitor_look"
"57",1934,4,10,3,9,"bottomright","topright","topleft",0,0
"58",1996,4,10,3,9,"bottomright","topright","topright",0,1
"59",1996,4,10,3,9,"bottomright","topright","center",0,0
"60",1996,4,10,3,9,"bottomright","topright","topleft",0,0
"61",1996,4,10,3,9,"bottomright","topright","bottomright",1,0
"62",1996,1,7,2,8,"topleft","bottomleft","topright",0,0
"63",1996,1,7,2,8,"topleft","bottomleft","topleft",1,0
"64",1996,1,7,2,8,"topleft","bottomleft","center",0,0
"65",1996,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"66",1996,2,8,1,7,"bottomleft","topleft","center",0,0
"67",1996,2,8,1,7,"bottomleft","topleft","topright",0,0
"68",1996,2,8,1,7,"bottomleft","topleft","topleft",0,1
"69",1996,2,8,1,7,"bottomleft","topleft","bottomleft",1,0
"70",1996,3,9,4,10,"topright","bottomright","center",0,0
"71",1996,3,9,4,10,"topright","bottomright","topright",1,0
"72",1996,3,9,4,10,"topright","bottomright","topleft",0,0
"73",1996,3,9,4,10,"topright","bottomright","bottomright",0,1
"74",1996,4,10,3,9,"bottomright","topright","bottomleft",0,0
"75",1996,3,9,4,10,"topright","bottomright","bottomleft",0,0
"76",1996,2,8,1,7,"bottomleft","topleft","bottomright",0,0
"77",1996,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"78",1961,3,9,4,10,"topright","bottomright","center",0,0
"79",1961,3,9,4,10,"topright","bottomright","bottomright",0,1
"80",1961,1,7,2,8,"topleft","bottomleft","topleft",1,0
"81",1961,1,7,2,8,"topleft","bottomleft","center",0,0
"82",1961,1,7,2,8,"topleft","bottomleft","bottomright",0,0
"83",1961,1,7,2,8,"topleft","bottomleft","bottomleft",0,1
"84",1961,4,10,3,9,"bottomright","topright","center",0,0
"85",1961,4,10,3,9,"bottomright","topright","bottomright",1,0
"86",1961,4,10,3,9,"bottomright","topright","topright",0,1
"87",1961,4,10,3,9,"bottomright","topright","topleft",0,0
"88",1961,1,7,2,8,"topleft","bottomleft","topright",0,0
"89",1961,3,9,4,10,"topright","bottomright","topright",1,0
"90",1961,2,8,1,7,"bottomleft","topleft","topright",0,0
"91",1961,2,8,1,7,"bottomleft","topleft","center",0,0
"92",1961,2,8,1,7,"bottomleft","topleft","topleft",0,1
